"for_min_temp_d1","for_max_temp_d1","for_rainfall_d1","for_solar_irr_d1","for_min_temp_d2","for_max_temp_d2","for_rainfall_d2","for_solar_irr_d2","for_min_temp_d3","for_max_temp_d3","for_rainfall_d3","for_solar_irr_d3","for_min_temp_d4","for_max_temp_d4","for_rainfall_d4","for_solar_irr_d4","for_min_temp_d5","for_max_temp_d5","for_rainfall_d5","for_solar_irr_d5","for_min_temp_d6","for_max_temp_d6","for_rainfall_d6","for_solar_irr_d6","for_min_temp_d7","for_max_temp_d7","for_rainfall_d7","for_solar_irr_d7"
0.982204281849754,0.67280289406042,0.0010253767852075,0.690832242752043,0.874721427543507,0.599210260466072,0.00722317352100673,0.753816571108466,0.698115834706469,0.745838295187524,0.0923795050000813,0.312316807572304,0.709648893672929,0.548428104698781,0,0.747221716085914,0.831097263929283,0.64909893389167,0.121798721646116,0.294186260361191,0.683606127910009,0.528072116225539,0,0.811240946981781,0.699581234407871,0.635402280565898,0.00905969942893401,0.387849360562673
0.874721427543507,0.599210260466072,0.00722317352100673,0.753816571108466,0.698115834706469,0.745838295187524,0.0923795050000813,0.312316807572304,0.709648893672929,0.548428104698781,0,0.747221716085914,0.831097263929283,0.64909893389167,0.121798721646116,0.294186260361191,0.683606127910009,0.528072116225539,0,0.811240946981781,0.699581234407871,0.635402280565898,0.00905969942893401,0.387849360562673,0.687040492303355,0.587711018290018,0.0215598629555188,0.501352309520986
0.698115834706469,0.745838295187524,0.0923795050000813,0.312316807572304,0.709648893672929,0.548428104698781,0,0.747221716085914,0.831097263929283,0.64909893389167,0.121798721646116,0.294186260361191,0.683606127910009,0.528072116225539,0,0.811240946981781,0.699581234407871,0.635402280565898,0.00905969942893401,0.387849360562673,0.687040492303355,0.587711018290018,0.0215598629555188,0.501352309520986,0.750588718829211,0.723961813535824,0,0.864986191114318
0.709648893672929,0.548428104698781,0,0.747221716085914,0.831097263929283,0.64909893389167,0.121798721646116,0.294186260361191,0.683606127910009,0.528072116225539,0,0.811240946981781,0.699581234407871,0.635402280565898,0.00905969942893401,0.387849360562673,0.687040492303355,0.587711018290018,0.0215598629555188,0.501352309520986,0.750588718829211,0.723961813535824,0,0.864986191114318,0.894610680041386,0.592170497656588,0,0.946347839742448
0.831097263929283,0.64909893389167,0.121798721646116,0.294186260361191,0.683606127910009,0.528072116225539,0,0.811240946981781,0.699581234407871,0.635402280565898,0.00905969942893401,0.387849360562673,0.687040492303355,0.587711018290018,0.0215598629555188,0.501352309520986,0.750588718829211,0.723961813535824,0,0.864986191114318,0.894610680041386,0.592170497656588,0,0.946347839742448,0.754669812687064,0.631070999943064,0.0783309519566673,0.270683733677276
0.683606127910009,0.528072116225539,0,0.811240946981781,0.699581234407871,0.635402280565898,0.00905969942893401,0.387849360562673,0.687040492303355,0.587711018290018,0.0215598629555188,0.501352309520986,0.750588718829211,0.723961813535824,0,0.864986191114318,0.894610680041386,0.592170497656588,0,0.946347839742448,0.754669812687064,0.631070999943064,0.0783309519566673,0.270683733677276,0.867853679688257,0.59874136378592,0.227562640643249,0.27190577660495
0.699581234407871,0.635402280565898,0.00905969942893401,0.387849360562673,0.687040492303355,0.587711018290018,0.0215598629555188,0.501352309520986,0.750588718829211,0.723961813535824,0,0.864986191114318,0.894610680041386,0.592170497656588,0,0.946347839742448,0.754669812687064,0.631070999943064,0.0783309519566673,0.270683733677276,0.867853679688257,0.59874136378592,0.227562640643249,0.27190577660495,0.831707312886813,0.68182388124823,0.00110383656521664,0.343008808888674
0.687040492303355,0.587711018290018,0.0215598629555188,0.501352309520986,0.750588718829211,0.723961813535824,0,0.864986191114318,0.894610680041386,0.592170497656588,0,0.946347839742448,0.754669812687064,0.631070999943064,0.0783309519566673,0.270683733677276,0.867853679688257,0.59874136378592,0.227562640643249,0.27190577660495,0.831707312886813,0.68182388124823,0.00110383656521664,0.343008808888674,0.986883001965972,0.964351088413056,0,0.376540926113404
0.750588718829211,0.723961813535824,0,0.864986191114318,0.894610680041386,0.592170497656588,0,0.946347839742448,0.754669812687064,0.631070999943064,0.0783309519566673,0.270683733677276,0.867853679688257,0.59874136378592,0.227562640643249,0.27190577660495,0.831707312886813,0.68182388124823,0.00110383656521664,0.343008808888674,0.986883001965972,0.964351088413056,0,0.376540926113404,0.864568788829229,0.821574636797309,0,0.84579416456501
0.894610680041386,0.592170497656588,0,0.946347839742448,0.754669812687064,0.631070999943064,0.0783309519566673,0.270683733677276,0.867853679688257,0.59874136378592,0.227562640643249,0.27190577660495,0.831707312886813,0.68182388124823,0.00110383656521664,0.343008808888674,0.986883001965972,0.964351088413056,0,0.376540926113404,0.864568788829229,0.821574636797309,0,0.84579416456501,0.843455222781137,0.933039889406762,0,0.978096682642124
